t,phase,motif,requested,observed,fatigue,hull,liveCombat,pending,totalSpawns
0,quiet,voyage,0.08,0,0,100,0,1,0
10,quiet,voyage,0.08,0,0,100,0,1,0
20,quiet,voyage,0.08,0,0,100,0,1,0
30,quiet,voyage,0.08,0,0,100,0,1,0
40,quiet,voyage,0.08,0,0,100,0,1,0
50,quiet,voyage,0.08,0,0,100,0,2,0
60,quiet,voyage,0.08,0,0,100,0,2,0
70,opportunity,voyage,0.188,0,0,100,0,2,0
80,opportunity,voyage,0.23,0,0,100,0,2,0
90,opportunity,voyage,0.23,0,0,100,0,3,0
100,opportunity,voyage,0.23,0,0,100,0,2,1
110,opportunity,voyage,0.23,0,0,100,0,2,1
120,opportunity,voyage,0.23,0,0,100,0,2,1
130,opportunity,voyage,0.23,0,0,100,0,2,1
140,peak,voyage,0.284,0.195,0.006149,100,1,2,2
150,peak,voyage,0.464,0.430292,0.027043,100,1,2,2
160,peak,voyage,0.594151,0.430292,0.04874,100,1,2,2
170,peak,voyage,0.597558,0.3915,0.07035,100,0,2,2
180,peak,voyage,0.595241,0.37575,0.08966,100,0,3,2
190,aftermath,voyage,0.14502,0.12375,0.009679,100,0,3,2
200,aftermath,voyage,0.1,0,0,100,0,3,2
210,aftermath,voyage,0.1,0,0,100,0,3,2
220,aftermath,voyage,0.1,0,0,100,0,3,2
230,aftermath,voyage,0.1,0,0,100,0,4,2
240,aftermath,voyage,0.1,0,0,100,0,4,2
250,aftermath,voyage,0.1,0,0,100,0,4,2
260,aftermath,voyage,0.1,0,0,100,0,4,2
270,aftermath,voyage,0.1,0,0,100,0,5,2
280,quiet,hunt,0.08,0,0,100,0,4,3
290,quiet,hunt,0.08,0,0,100,0,4,3
300,quiet,hunt,0.08,0,0,100,0,4,3
310,quiet,hunt,0.08,0,0,100,0,4,3
320,quiet,hunt,0.08,0,0,100,0,5,3
330,peak,hunt,0.248,0.065,0.00205,100,1,4,4
340,peak,hunt,0.428,0.422417,0.022795,100,1,4,4
350,peak,hunt,0.600674,0.438167,0.044385,100,1,4,4
360,peak,hunt,0.597998,0.438167,0.066686,100,1,5,4
370,peak,hunt,0.601673,0.37575,0.08606,100,0,5,4
380,aftermath,hunt,0.25101,0.17975,0.027945,100,0,5,4
