t,phase,motif,requested,observed,fatigue,hull,liveCombat,pending,totalSpawns
0,travel,,,,,100,0,1,0
10,travel,,,,,100,0,0,1
20,travel,,,,,100,0,0,1
30,travel,,,,,100,0,0,1
40,travel,,,,,100,0,0,1
50,travel,,,,,100,0,0,2
60,travel,,,,,100,0,0,2
70,travel,,,,,100,0,0,2
80,curiosity,,,,,100,0,0,2
90,curiosity,,,,,100,0,1,2
100,violence,,,,,100,1,0,3
110,violence,,,,,100,1,0,3
120,violence,,,,,100,1,0,3
130,aftermath,,,,,100,0,0,3
140,aftermath,,,,,100,0,0,4
150,aftermath,,,,,100,0,0,4
160,aftermath,,,,,100,0,0,4
170,aftermath,,,,,100,0,0,4
180,aftermath,,,,,100,0,1,4
190,quiet,,,,,100,0,1,4
200,quiet,,,,,100,0,1,4
210,quiet,,,,,100,0,1,4
220,quiet,,,,,100,0,1,4
230,quiet,,,,,100,0,2,4
240,quiet,,,,,100,0,2,4
250,quiet,,,,,100,0,2,4
260,quiet,,,,,100,0,2,4
270,quiet,,,,,100,0,3,4
280,work,,,,,100,0,3,4
290,work,,,,,100,0,3,4
300,travel,,,,,100,0,3,4
310,violence,,,,,100,1,2,5
320,violence,,,,,100,1,2,6
330,violence,,,,,100,1,2,6
340,aftermath,,,,,100,0,2,6
350,aftermath,,,,,100,0,2,6
360,aftermath,,,,,100,0,3,6
370,aftermath,,,,,100,0,2,7
380,aftermath,,,,,100,0,2,7
390,aftermath,,,,,100,0,2,7
400,quiet,,,,,100,0,2,7
410,quiet,,,,,100,0,3,7
420,quiet,,,,,100,0,3,7
430,quiet,,,,,100,0,3,7
440,quiet,,,,,100,0,3,7
450,quiet,,,,,100,0,4,7
460,quiet,,,,,100,0,4,7
470,quiet,,,,,100,0,4,7
480,quiet,,,,,100,0,4,7
490,work,,,,,100,0,4,7
500,work,,,,,100,0,4,8
510,travel,,,,,100,0,4,8
520,violence,,,,,100,1,3,9
530,violence,,,,,100,1,3,9
540,violence,,,,,100,1,4,9
550,aftermath,,,,,100,0,4,9
560,aftermath,,,,,100,0,4,9
570,aftermath,,,,,100,0,4,9
580,aftermath,,,,,100,0,4,9
590,aftermath,,,,,100,0,5,9
600,aftermath,,,,,100,0,5,9
610,quiet,,,,,100,0,5,9
620,quiet,,,,,100,0,5,9
630,quiet,,,,,100,0,6,9
640,quiet,,,,,100,0,6,9
650,quiet,,,,,100,0,6,9
660,quiet,,,,,100,0,6,9
670,quiet,,,,,100,0,6,9
680,quiet,,,,,100,0,7,9
690,quiet,,,,,100,0,7,9
700,work,,,,,100,0,7,9
710,work,,,,,100,0,7,9
720,travel,,,,,100,0,8,9
730,travel,,,,,100,0,8,9
740,travel,,,,,100,0,8,9
750,travel,,,,,100,0,8,9
760,travel,,,,,100,0,8,9
770,travel,,,,,100,0,9,9
780,travel,,,,,100,0,9,9
790,violence,,,,,100,1,7,11
800,violence,,,,,100,1,6,12
810,violence,,,,,100,1,7,12
820,aftermath,,,,,100,0,7,12
830,aftermath,,,,,100,0,6,13
840,aftermath,,,,,100,0,6,13
850,aftermath,,,,,100,0,6,13
860,aftermath,,,,,100,0,6,14
870,aftermath,,,,,100,0,6,14
880,quiet,,,,,100,0,6,14
890,quiet,,,,,100,0,6,14
900,quiet,,,,,100,0,7,14
910,quiet,,,,,100,0,6,15
920,quiet,,,,,100,0,6,15
930,quiet,,,,,100,0,6,15
940,quiet,,,,,100,0,6,15
950,quiet,,,,,100,0,6,16
960,quiet,,,,,100,0,6,16
970,work,,,,,100,0,6,16
980,work,,,,,100,0,6,16
990,travel,,,,,100,0,7,16
1000,travel,,,,,100,0,6,17
1010,violence,,,,,100,1,5,18
1020,violence,,,,,100,1,5,18
1030,violence,,,,,100,1,5,18
1040,aftermath,,,,,100,0,6,18
1050,aftermath,,,,,100,0,6,18
1060,aftermath,,,,,100,0,6,18
1070,aftermath,,,,,100,0,6,18
1080,aftermath,,,,,100,0,7,18
1090,aftermath,,,,,100,0,7,18
1100,quiet,,,,,100,0,7,18
1110,quiet,,,,,100,0,7,18
1120,quiet,,,,,100,0,7,18
1130,quiet,,,,,100,0,7,19
1140,quiet,,,,,100,0,7,19
1150,quiet,,,,,100,0,7,19
1160,quiet,,,,,100,0,7,19
1170,quiet,,,,,100,0,8,19
1180,quiet,,,,,100,0,8,19
1190,work,,,,,100,0,8,19
1200,work,,,,,100,0,8,19
1210,violence,,,,,100,1,7,20
1220,violence,,,,,100,1,8,20
1230,violence,,,,,100,1,8,20
1240,aftermath,,,,,100,0,8,20
1250,aftermath,,,,,100,0,8,20
1260,aftermath,,,,,100,0,9,20
1270,aftermath,,,,,100,0,9,20
1280,aftermath,,,,,100,0,9,20
1290,aftermath,,,,,100,0,9,20
1300,quiet,,,,,100,0,9,20
1310,quiet,,,,,100,0,9,21
1320,quiet,,,,,100,0,9,21
1330,quiet,,,,,100,0,9,21
1340,quiet,,,,,100,0,9,21
1350,quiet,,,,,100,0,10,21
1360,quiet,,,,,100,0,10,21
1370,quiet,,,,,100,0,10,21
1380,quiet,,,,,100,0,10,21
