t,phase,motif,requested,observed,fatigue,hull,liveCombat,pending,totalSpawns
0,quiet,voyage,0.08,0,0,100,0,1,0
10,quiet,voyage,0.08,0,0,100,0,1,0
20,quiet,voyage,0.08,0,0,100,0,1,0
30,quiet,voyage,0.08,0,0,100,0,1,0
40,quiet,voyage,0.08,0,0,100,0,1,0
50,quiet,voyage,0.08,0,0,100,0,2,0
60,quiet,voyage,0.08,0,0,100,0,2,0
70,opportunity,voyage,0.188,0,0,100,0,2,0
80,opportunity,voyage,0.23,0,0,100,0,2,0
90,opportunity,voyage,0.23,0,0,100,0,3,0
100,opportunity,voyage,0.23,0,0,100,0,2,1
110,opportunity,voyage,0.23,0,0,100,0,2,1
120,opportunity,voyage,0.23,0,0,100,0,2,1
130,opportunity,voyage,0.23,0,0,100,0,2,1
140,peak,voyage,0.284,0.195,0.006149,100,1,2,2
150,peak,voyage,0.464,0.430292,0.027043,100,1,2,2
160,peak,voyage,0.594151,0.430292,0.04874,100,1,2,2
170,peak,voyage,0.591497,0.438167,0.07086,100,1,2,2
180,peak,voyage,0.588803,0.438167,0.093311,100,1,3,2
190,peak,voyage,0.586109,0.430292,0.115762,100,1,3,2
200,aftermath,voyage,0.440361,0.430292,0.136982,100,1,2,3
210,aftermath,voyage,0.080894,0.430292,0.159213,100,1,2,3
220,aftermath,voyage,0.078222,0.430292,0.181487,100,1,2,3
230,aftermath,voyage,0.075498,0.438167,0.204184,100,1,3,3
240,aftermath,voyage,0.072734,0.438167,0.227213,100,1,3,3
250,aftermath,voyage,0.070032,0.390042,0.249732,100,0,3,3
260,aftermath,voyage,0.067664,0.37575,0.269464,100,0,3,3
270,aftermath,voyage,0.077252,0.12375,0.189563,100,0,4,3
280,aftermath,voyage,0.088161,0,0.098654,100,0,3,4
290,quiet,discovery,0.079071,0,0.007745,100,0,3,4
300,quiet,discovery,0.08,0,0,100,0,3,4
310,quiet,discovery,0.08,0,0,100,0,3,4
320,quiet,discovery,0.08,0,0,100,0,4,4
330,quiet,discovery,0.08,0,0,100,0,4,4
340,quiet,discovery,0.08,0,0,100,0,4,4
350,quiet,discovery,0.08,0,0,100,0,4,4
360,quiet,discovery,0.08,0,0,100,0,5,4
370,quiet,discovery,0.08,0,0,100,0,5,4
