t,phase,motif,requested,observed,fatigue,hull,liveCombat,pending,totalSpawns
0,travel,,,,,100,0,1,0
10,travel,,,,,100,0,1,0
20,travel,,,,,100,0,1,0
30,travel,,,,,100,0,1,0
40,travel,,,,,100,0,1,0
50,travel,,,,,100,0,2,0
60,travel,,,,,100,0,2,0
70,violence,,,,,100,1,1,1
80,violence,,,,,100,1,1,1
90,violence,,,,,100,1,2,1
100,violence,,,,,100,1,1,2
110,violence,,,,,100,1,1,2
120,aftermath,,,,,100,0,1,2
130,aftermath,,,,,100,0,1,2
140,aftermath,,,,,100,0,2,2
150,aftermath,,,,,100,0,2,2
160,aftermath,,,,,100,0,2,2
170,aftermath,,,,,100,0,2,2
180,quiet,,,,,100,0,3,2
190,quiet,,,,,100,0,3,2
200,quiet,,,,,100,0,3,2
210,quiet,,,,,100,0,3,2
220,quiet,,,,,100,0,3,2
230,quiet,,,,,100,0,4,2
240,quiet,,,,,100,0,4,2
250,quiet,,,,,100,0,4,2
260,quiet,,,,,100,0,4,2
270,work,,,,,100,0,5,2
280,work,,,,,100,0,4,3
290,travel,,,,,100,1,3,4
300,violence,,,,,100,1,3,4
310,violence,,,,,100,1,3,4
320,violence,,,,,100,1,4,4
330,violence,,,,,100,1,4,4
340,violence,,,,,100,1,4,4
350,aftermath,,,,,100,0,4,4
360,aftermath,,,,,100,0,5,4
370,aftermath,,,,,100,0,5,4
380,aftermath,,,,,100,0,5,4
390,aftermath,,,,,100,0,5,4
400,aftermath,,,,,100,0,5,4
410,quiet,,,,,100,0,6,4
420,quiet,,,,,100,0,6,4
430,quiet,,,,,100,0,6,4
440,quiet,,,,,100,0,6,4
450,quiet,,,,,100,0,7,4
460,quiet,,,,,100,0,6,5
470,quiet,,,,,100,0,6,5
480,quiet,,,,,100,0,6,5
490,quiet,,,,,100,0,6,5
500,work,,,,,100,0,7,5
510,work,,,,,100,0,7,5
520,violence,,,,,100,1,6,6
530,violence,,,,,100,1,6,6
540,violence,,,,,100,1,7,6
550,violence,,,,,100,1,6,7
560,violence,,,,,100,1,6,7
570,aftermath,,,,,100,0,6,7
580,aftermath,,,,,100,0,6,7
590,aftermath,,,,,100,0,6,8
600,aftermath,,,,,100,0,6,8
610,aftermath,,,,,100,0,6,8
620,aftermath,,,,,100,0,6,8
630,quiet,,,,,100,0,7,8
640,quiet,,,,,100,0,7,8
650,quiet,,,,,100,0,7,8
660,quiet,,,,,100,0,7,8
670,quiet,,,,,100,0,7,8
680,quiet,,,,,100,0,8,8
690,quiet,,,,,100,0,8,8
700,quiet,,,,,100,0,8,8
710,quiet,,,,,100,0,8,8
720,work,,,,,100,0,9,8
730,work,,,,,100,0,9,8
740,travel,,,,,100,0,9,8
750,travel,,,,,100,0,9,8
760,travel,,,,,100,0,9,8
770,travel,,,,,100,0,10,8
780,travel,,,,,100,0,10,8
