t,phase,motif,requested,observed,fatigue,hull,liveCombat,pending,totalSpawns
0,quiet,voyage,0.08,0,0,100,0,1,0
10,quiet,voyage,0.08,0,0,100,0,1,0
20,quiet,voyage,0.08,0,0,100,0,1,0
30,quiet,voyage,0.08,0,0,100,0,1,0
40,quiet,voyage,0.08,0,0,100,0,1,0
50,quiet,voyage,0.08,0,0,100,0,2,0
60,quiet,voyage,0.08,0,0,100,0,2,0
70,opportunity,voyage,0.188,0,0,100,0,2,0
80,opportunity,voyage,0.23,0,0,100,0,2,0
90,opportunity,voyage,0.23,0,0,100,0,3,0
100,opportunity,voyage,0.23,0,0,100,0,2,1
110,opportunity,voyage,0.23,0,0,100,0,2,1
120,opportunity,voyage,0.23,0,0,100,0,2,1
130,opportunity,voyage,0.23,0,0,100,0,2,1
140,peak,voyage,0.284,0.195,0.006348,100,1,2,2
150,peak,voyage,0.464,0.461792,0.028435,100,1,2,2
160,peak,voyage,0.593713,0.461792,0.052394,100,1,2,2
170,peak,voyage,0.590719,0.480167,0.07734,100,1,2,2
180,peak,voyage,0.587633,0.480167,0.103058,100,1,3,2
190,peak,voyage,0.584547,0.470542,0.128778,100,1,3,2
200,aftermath,voyage,0.432403,0.480167,0.154599,100,1,3,2
210,aftermath,voyage,0.078257,0.480167,0.181193,100,1,3,2
220,aftermath,voyage,0.075065,0.470542,0.207788,100,1,3,2
230,aftermath,voyage,0.071862,0.480167,0.234484,100,1,4,2
240,aftermath,voyage,0.068566,0.480167,0.261952,100,1,4,2
250,aftermath,voyage,0.065626,0.4055,0.286446,100,0,4,2
260,aftermath,voyage,0.073819,0.17275,0.218174,100,0,4,2
270,aftermath,voyage,0.084728,0,0.127265,100,0,5,2
280,aftermath,voyage,0.095637,0,0.036356,100,0,4,3
290,quiet,discovery,0.08,0,0,100,0,4,3
300,quiet,discovery,0.08,0,0,100,0,4,3
310,quiet,discovery,0.08,0,0,100,0,4,3
320,quiet,discovery,0.08,0,0,100,0,5,3
330,quiet,discovery,0.08,0,0,100,0,5,3
340,quiet,discovery,0.08,0,0,100,0,5,3
350,quiet,discovery,0.08,0,0,100,0,5,3
360,quiet,discovery,0.08,0,0,100,0,6,3
370,quiet,discovery,0.08,0,0,100,0,6,3
380,opportunity,discovery,0.188,0,0,100,0,6,3
