t,phase,motif,requested,observed,fatigue,hull,liveCombat,pending,totalSpawns
0,travel,,,,,100,0,1,0
10,travel,,,,,100,0,0,1
20,travel,,,,,100,0,0,1
30,travel,,,,,100,0,0,1
40,travel,,,,,100,0,0,1
50,travel,,,,,100,0,0,2
60,travel,,,,,100,0,0,2
70,travel,,,,,100,0,0,2
80,curiosity,,,,,100,0,0,2
90,curiosity,,,,,100,0,1,2
100,violence,,,,,100,1,0,3
110,violence,,,,,100,1,0,3
120,violence,,,,,100,1,0,3
130,violence,,,,,100,1,0,3
140,violence,,,,,100,1,0,4
150,violence,,,,,100,1,0,4
160,violence,,,,,100,1,0,4
170,violence,,,,,100,1,0,4
180,violence,,,,,100,1,1,4
190,violence,,,,,100,1,1,4
200,aftermath,,,,,100,0,1,4
210,aftermath,,,,,100,0,1,4
220,aftermath,,,,,100,0,1,4
230,aftermath,,,,,100,0,2,4
240,aftermath,,,,,100,0,2,4
250,aftermath,,,,,100,0,2,4
260,quiet,,,,,100,0,2,4
270,quiet,,,,,100,0,3,4
280,quiet,,,,,100,0,3,4
290,quiet,,,,,100,0,3,4
300,quiet,,,,,100,0,3,4
310,quiet,,,,,100,0,3,4
320,quiet,,,,,100,0,3,5
330,quiet,,,,,100,0,3,5
340,quiet,,,,,100,0,3,5
350,work,,,,,100,0,3,5
360,work,,,,,100,0,4,5
370,travel,,,,,100,0,3,6
380,violence,,,,,100,1,2,7
390,violence,,,,,100,1,2,7
400,violence,,,,,100,1,2,7
410,violence,,,,,100,1,3,7
420,violence,,,,,100,1,3,7
430,violence,,,,,100,1,3,7
440,violence,,,,,100,1,3,7
450,violence,,,,,100,1,4,7
460,violence,,,,,100,1,4,7
470,violence,,,,,100,1,4,7
480,aftermath,,,,,100,0,4,7
490,aftermath,,,,,100,0,4,7
500,aftermath,,,,,100,0,4,8
510,aftermath,,,,,100,0,4,8
520,aftermath,,,,,100,0,4,8
530,aftermath,,,,,100,0,4,8
540,quiet,,,,,100,0,5,8
550,quiet,,,,,100,0,5,8
560,quiet,,,,,100,0,5,8
570,quiet,,,,,100,0,5,8
580,quiet,,,,,100,0,5,8
590,quiet,,,,,100,0,6,8
600,quiet,,,,,100,0,6,8
610,quiet,,,,,100,0,6,8
620,quiet,,,,,100,0,6,8
630,work,,,,,100,0,7,8
640,work,,,,,100,0,7,8
650,travel,,,,,100,0,7,8
660,travel,,,,,100,0,7,8
670,travel,,,,,100,0,7,8
680,travel,,,,,100,0,8,8
690,travel,,,,,100,0,8,8
700,travel,,,,,100,0,8,8
710,travel,,,,,100,0,8,8
720,travel,,,,,100,0,9,8
730,curiosity,,,,,100,0,9,8
740,curiosity,,,,,100,0,9,8
750,curiosity,,,,,100,0,9,8
760,curiosity,,,,,100,0,9,8
770,curiosity,,,,,100,0,10,8
780,curiosity,,,,,100,0,10,8
790,violence,,,,,100,1,8,10
800,violence,,,,,100,1,7,11
810,violence,,,,,100,1,8,11
820,violence,,,,,100,1,8,11
830,violence,,,,,100,1,7,12
840,violence,,,,,100,1,7,12
850,violence,,,,,100,1,7,12
860,violence,,,,,100,1,7,13
870,violence,,,,,100,1,7,13
880,violence,,,,,100,1,7,13
890,aftermath,,,,,100,0,7,13
900,aftermath,,,,,100,0,8,13
910,aftermath,,,,,100,0,7,14
920,aftermath,,,,,100,0,7,14
930,aftermath,,,,,100,0,7,14
940,aftermath,,,,,100,0,7,14
950,quiet,,,,,100,0,7,15
960,quiet,,,,,100,0,7,15
970,quiet,,,,,100,0,7,15
980,quiet,,,,,100,0,7,15
990,quiet,,,,,100,0,8,15
1000,quiet,,,,,100,0,7,16
1010,quiet,,,,,100,0,7,16
1020,quiet,,,,,100,0,7,16
1030,quiet,,,,,100,0,7,16
1040,work,,,,,100,0,8,16
1050,work,,,,,100,0,8,16
1060,travel,,,,,100,0,8,16
1070,violence,,,,,100,1,7,17
1080,violence,,,,,100,1,8,17
1090,violence,,,,,100,1,8,17
1100,violence,,,,,100,1,8,17
1110,violence,,,,,100,1,8,17
1120,violence,,,,,100,1,8,17
1130,violence,,,,,100,1,8,18
1140,violence,,,,,100,1,8,18
1150,violence,,,,,100,1,8,18
1160,violence,,,,,100,1,8,18
1170,aftermath,,,,,100,0,9,18
1180,aftermath,,,,,100,0,9,18
1190,aftermath,,,,,100,0,9,18
1200,aftermath,,,,,100,0,9,18
1210,aftermath,,,,,100,0,9,18
1220,aftermath,,,,,100,0,10,18
1230,quiet,,,,,100,0,10,18
1240,quiet,,,,,100,0,10,18
1250,quiet,,,,,100,0,10,18
1260,quiet,,,,,100,0,11,18
1270,quiet,,,,,100,0,11,18
1280,quiet,,,,,100,0,11,18
1290,quiet,,,,,100,0,11,18
1300,quiet,,,,,100,0,11,18
1310,quiet,,,,,100,0,11,19
1320,work,,,,,100,0,11,19
1330,work,,,,,100,0,11,19
1340,travel,,,,,100,1,10,20
1350,violence,,,,,100,1,11,20
1360,violence,,,,,100,1,11,20
1370,violence,,,,,100,1,11,20
1380,violence,,,,,100,1,11,20
1390,violence,,,,,100,1,11,20
